Date,AvgPrice
2024-04-02,5197.22742
2024-04-01,5248.72266
2024-03-28,5253.26245
2024-03-27,5234.495
2024-03-26,5217.75256
2024-03-25,5220.72241
2024-03-22,5238.15503
2024-03-21,5249.18005
2024-03-20,5201.01245
2024-03-19,5157.37488
2024-03-18,5156.31506
2024-03-15,5120.40247
2024-03-14,5156.4425
2024-03-13,5167.45508
2024-03-12,5150.97998
2024-03-11,5111.42505
2024-03-08,5148.72742
2024-03-07,5145.89246
2024-03-06,5108.245
2024-03-05,5090.13245
2024-03-04,5134.69763
2024-03-01,5117.52002
2024-02-29,5087.12756
2024-02-28,5068.17004
2024-02-27,5072.69006
2024-02-26,5082.27502
2024-02-23,5095.55994
2024-02-22,5064.77002
2024-02-21,4968.50989
2024-02-20,4978.38989
2024-02-16,5018.72998
2024-02-15,5016.25757
2024-02-14,4984.00757
2024-02-13,4953.17993
2024-02-12,5028.47253
2024-02-09,5015.29492
2024-02-08,4995.14001
2024-02-07,4984.26245
2024-02-06,4949.26001
2024-02-05,4943.81995
2024-02-02,4939.48755
2024-02-01,4881.94751
2024-01-31,4874.18494
2024-01-30,4924.55505
2024-01-29,4909.39758
2024-01-26,4892.01013
2024-01-25,4887.07751
2024-01-24,4881.6825
2024-01-23,4858.0625
2024-01-22,4854.07751
2024-01-19,4816.00745
2024-01-18,4766.84998
2024-01-17,4734.34741
2024-01-16,4766.94751
2024-01-12,4786.59753
2024-01-11,4777.61255
2024-01-10,4772.59753
2024-01-09,4748.56262
2024-01-08,4732.90002
2024-01-05,4697.85254
2024-01-04,4700.10242
2024-01-03,4714.71997
2024-01-02,4741.25757
2023-12-29,4773.28259
2023-12-28,4786.01746
2023-12-27,4777.33008
2023-12-26,4769.19507
2023-12-22,4754.56494
2023-12-21,4732.02502
2023-12-20,4734.72742
2023-12-19,4756.12512
2023-12-18,4735.31006
2023-12-15,4715.90991
2023-12-14,4718.37488
2023-12-13,4676.55249
2023-12-12,4628.505
2023-12-11,4608.23254
2023-12-08,4590.96509
2023-12-07,4577.64246
2023-12-06,4568.20251
2023-12-05,4563.6676
2023-12-04,4563.31006
2023-12-01,4577.04004
2023-11-30,4557.45007
2023-11-29,4564.30249
2023-11-28,4552.27246
2023-11-27,4553.03247
2023-11-24,4557.07239
2023-11-22,4555.78503
2023-11-21,4536.15247
2023-11-20,4531.63745
2023-11-17,4510.83752
2023-11-16,4501.28516
2023-11-15,4506.16492
2023-11-14,4480.57764
2023-11-13,4408.44739
2023-11-10,4387.68994
2023-11-09,4369.02502
2023-11-08,4379.52747
2023-11-07,4371.56494
2023-11-06,4362.49744
2023-11-03,4350.10498
2023-11-02,4293.50488
2023-11-01,4220.62756
2023-10-31,4178.44995
2023-10-30,4154.15503
2023-10-27,4132.69507
2023-10-26,4156.18005
2023-10-25,4208.25745
2023-10-24,4240.57007
2023-10-23,4218.125
2023-10-20,4249.40002
2023-10-19,4302.14746
2023-10-18,4334.99756
2023-10-17,4362.38501
2023-10-16,4360.42505
2023-10-13,4344.33508
2023-10-12,4360.45752
2023-10-11,4366.88
2023-10-10,4355.77258
2023-10-09,4312.55005
2023-10-06,4271.73499
2023-10-05,4252.63501
2023-10-04,4246.64001
2023-10-03,4249.20007
2023-10-02,4283.42505
2023-09-29,4306.05994
2023-09-28,4287.75
2023-09-27,4271.95984
2023-09-26,4291.34985
2023-09-25,4322.3175
2023-09-22,4333.92261
2023-09-21,4352.3075
2023-09-20,4429.35498
2023-09-19,4438.95508
2023-09-18,4451.78235
2023-09-15,4473.37244
2023-09-14,4495.89001
2023-09-13,4465.75
2023-09-12,4469.77747
2023-09-11,4481.77502
2023-09-08,4457.67493
2023-09-07,4443.48999
2023-09-06,4472.14001
2023-09-05,4504.29749
2023-09-01,4522.24255
2023-08-31,4516.07996
2023-08-30,4507.61243
2023-08-29,4465.55005
2023-08-28,4428.46997
2023-08-25,4392.45996
2023-08-24,4416.32996
2023-08-23,4418.01746
2023-08-22,4401.05994
2023-08-21,4386.97485
2023-08-18,4357.92993
2023-08-17,4393.16992
2023-08-16,4422.90503
2023-08-15,4456.94751
2023-08-14,4472.90503
2023-08-11,4458.73743
2023-08-10,4485.32007
2023-08-09,4483.26245
2023-08-08,4491.27747
2023-08-07,4505.25244
2023-08-04,4501.71985
2023-08-03,4500.29761
2023-08-02,4530.25012
2023-08-01,4576.92749
2023-07-31,4585.28503
2023-07-28,4575.53748
2023-07-27,4567.82495
